上海电信,#genre#
快乐垂钓,http://115.171.216.222:4000/udp/225.1.8.71:8002
茶频道,http://115.171.216.222:4000/udp/225.1.8.72:8002
每日影院,http://115.171.216.222:4000/udp/225.1.8.97:8002
幸福剧场,http://115.171.216.222:4000/udp/225.1.8.98:8002
幸福娱乐,http://115.171.216.222:4000/udp/225.1.8.99:8002
风尚生活,http://115.171.216.222:4000/udp/225.1.8.103:8002
中国足协杯,http://115.171.216.222:4000/udp/225.1.8.40:8184
体育赛事,http://115.171.216.222:4000/udp/225.1.8.81:8176
爱上4K,http://115.171.216.222:4000/udp/225.1.8.80:2000
北京IPTV淘精彩,http://115.171.216.222:4000/udp/225.1.8.33:8002
北京IPTV淘BABY,http://115.171.216.222:4000/udp/225.1.8.36:8002
北京IPTV淘剧场,http://115.171.216.222:4000/udp/225.1.8.37:8002
北京IPTV淘电影,http://115.171.216.222:4000/udp/225.1.8.38:8002
北京IPTV淘娱乐,http://115.171.216.222:4000/udp/225.1.8.61:8002
北京IPTV萌宠TV,http://115.171.216.222:4000/udp/225.1.8.63:8002
北京IPTV4K,http://115.171.216.222:4000/udp/225.1.8.211:8002
熊猫频道,http://115.171.216.222:4000/udp/225.1.8.210:8068
大健康,http://115.171.216.222:4000/udp/225.1.8.39:8002
聚鲨环球精选,http://115.171.216.222:4000/udp/225.1.8.58:8002
聚鲨北京,http://115.171.216.222:4000/udp/225.1.8.59:8002
聚鲨健康,http://115.171.216.222:4000/udp/225.1.8.60:8002
聚鲨生活,http://115.171.216.222:4000/udp/225.1.8.62:8002
聚鲨国际,http://115.171.216.222:4000/udp/225.1.8.66:8002
CGTN,http://115.171.216.222:4000/udp/225.1.8.116:8056
CETV1,http://115.171.216.222:4000/udp/225.1.8.169:4120
CETV2,http://115.171.216.222:4000/udp/225.1.8.193:4120
CETV3,http://115.171.216.222:4000/udp/225.1.8.194:4120
CETV4,http://115.171.216.222:4000/udp/225.1.8.195:4120
